Y1	Y2	Y	Domain	area	keywords	Abstract
0	4	4	CS 	 Operating systems  	 IoT; Internet of Things; professional training; training courses; Raspberry Pi; microcomputer        	"Introduction. Proposed concept for training ""Internet of Things"" technology within the framework of the speciality ""Telecommunications and Radio Engineering"". It is given a practice of organization and sequencing courses for students, which allows to teach them to design an entire system using Internet of Things. Main part. Internet of Things technologies require a wide range of knowledge and skills, it's building a unified data collection, their processing and forming control signals to the feedback circuit. Only single-step study with practical application allows you to learn to build such a system. Programming languages for IoT technology is a tool that lets you collaborate sensors with basic microcomputers, perform data processing for cloud services, work control signals. At each stage of construction IoT systems can be used in various programming languages, but preference should be given to those who support open operating systems. Conclusions. The feature of such course sequence is its practical-value content and its final result orientation."
5	27	99	Medical 	 Hypothyroidism  	 Apelin; Cardiac function; Hypothyroid; Rat; Thyroxin        	The most important conditions associated with hypothyroidism is the cardiac dysfunction. Apelin is an endogenous ligand, involved in energy storage and metabolism which improves cardiac contractility. This study was done to evaluate the effects of apelin, L-Thyroxin (T4) or a combination of both, on cardiac function and mRNA expression of two contractile proteins, alpha and beta myosin heavy chain (alpha-MHC and beta-mHC), in 6-propyl-2-thiouracil (PTU)-induced hypothyroid rats. Forty male Wistar rats were randomly assigned into five groups: Ctrl (Control), and 4 hypothyroid groups (H, HA, HT, and HAT). The Hypothyroid (H) group received 0.05% PTU in the drinking water for six weeks; the next 3 groups, along with PTU, received apelin (HA, 200 mu g/kg/day, ip), T4 (HT, 20 mu g/kg/day, gavage), or a combination of both drugs (HAT) for the last 2 weeks (weeks 5 and 6). TSH and T4 were measured using ELISA kit Isolated hearts of animals were perfused in Langendorff apparatus and left ventricular developed pressure, cardiac contractility, heart rate, rate pressure product and perfusion pressure were assessed using PowerLab ADInstruments. In addition alpha-MHC and beta-MHC mRNA expression were evaluated by RT-PCR method in heart tissue. Apelin alone or accompanied by T4 significantly increased cardiac contractility and performance as compared to hypothyroid group. Apelin also significantly increased the alpha-MHC mRNA expression and in the presence of T4 significantly decreased beta-MHC mRNA expression. It seems that apelin alone may improve cardiac function in hypothyroid rats via genomic pathways. (C) 2016 Elsevier B.V. All rights reserved.
5	42	114	Medical 	 Parenting  	 Juvenile justice; Detained girls; Sexual risk-taking; STIs; Juvenile detention        	Adolescents involved with the juvenile justice system have higher rates of risky sexual behaviors, resulting in high rates of sexually transmitted infections and increased risk of human immunodeficiency virus, early or complicated pregnancy, and parenting issues. Comorbid substance abuse, gang association, mental health issues, and history of having been abused as children result in further elevated rates. Girls and lesbian, gay, bisexual, and transgender youths represent growing subpopulations with special risks. Increasingly diverted to community-based alternatives, juvenile justice involved teens obtain most of their medical care from community providers, who need to understand their risks to provide appropriate, optimal care.
3	7	59	MAE 	 Materials Engineering  	 Project-based learning; course design; materials engineering; automotive materials; materials selection        	'Automotive Materials' is a core course in the Master of Engineering (International Automotive Engineering) Program. Developed in consultation with industry representatives, it aims to link material properties with automobile design and manufacturing requirements. The course content focuses on niche areas in component design including alternative materials. Each topic is presented in relation to a particular application. Formal lectures are combined with a case study and materials selection projects to deepen the students' knowledge and understanding of the topic. The most innovative aspect of this course curriculum has been the case study approach where the properties of materials are discussed in the context of particular applications. This approach enables the students to construct their own materials knowledge and to develop an intrinsic motivation to learn the subject material. The course has been running for more than four years, with very positive student feedback.
2	13	46	Psychology  	 Prenatal development  	 Micrometry; Leydig cells; seminiferous epithelium; prenatal development; goat        	There is a definite pattern of the growth of seminiferous tubules at different post natal ages in mammals. The present work involves recording the changes of the seminiferous tubules, the cellular components of the seminiferous epithelium and the Leydig cells in male Assam goats. Different micrometrical parameters of the seminiferous tubules were found to increase with the increase in age of the male goats and they showed a significant (P < .05) increase between the age of 6 and 8 months. Also, the micrometrical parameters of different spermatogenic cells showed a significant (P < .05) increase between 6- and 8-month-old goats. The Leydig cells could be marked in the intertubular tissue right from birth. Various micrometrical parameters of the Leydig cells were found to increase with the advancement of age of the male goats. The nuclear diameter of the Leydig cells did not show a definite pattern during their postnatal growth. The other micrometrical measurements of the Leydig cells denoted their highest values at the age of 8 months.
0	10	10	CS 	 Distributed computing  	 Distributed computing; Publish-subscribe; Electric vehicles; Optimization        	This paper explores advantages that a publish/subscribe middleware can offer for the implementation of an efficient and reliable electric vehicle (EV) charging control infrastructure. We propose distributed optimization publish and subscribe (DOPS), a framework for distributed optimization of EV charging, which works on top of a pub/sub middleware and extends it to support in-network aggregation. For our evaluation, we deployed DOPS in a testbed consisting of 15 virtual machines connected via a VLAN network and compared three different communication schemes: centralized, decentralized and decentralized with aggregation. Our results show that for up to 120 EVs a centralized approach is faster. However, the trends reveal that for more than 150 EVs a decentralized approaches will offer better performance. Moreover, we demonstrate that the in-network aggregation feature of DOPS doubles the performance of the decentralized approach. Our results thus confirm that distributed control infrastructures can benefit from using pub/sub middleware.
2	1	34	Psychology  	 Social cognition  	 construal level theory; delay-of-gratification; linguistic categorization model; self-control        	Research indicates that inducing high-level construal (processing that highlights invariant, essential features) relative to low-level construal (processing that highlights idiosyncratic, peripheral features) promotes self-control (Fujita & Carnevale, 2012). In the present work, we investigate to what extent people recognize the self-control benefits of high-level construal, and explore the consequences of this knowledge. Studies 1 and 2 provide initial evidence that individuals are aware that high-level relative to low-level construal promotes self-control in the dieting domain. Studies 3 and 4 find that individual differences in this knowledge predict self-control success outcomes (i.e., body mass index) among those who are motivated by dieting goals. Examining academics as a domain of self-control, Study 5 demonstrates that those with higher knowledge of construal level's impact on self-control earned higher end-of-semester grades to the extent that they were motivated to do well academically. Theoretical and practical implications of these findings are discussed.
6	6	131	biochemistry 	 Polymerase chain reaction  	 Aged; Liver Regeneration; Proliferation; Apoptosis        	Objective: Patients over 60 years of age have higher mortality and morbidity after major liver resections. Nitric oxide (NO) derived from the catalytic activity of Nos2 plays a beneficial role in liver regeneration (LR) after partial hepatectomy (PH). In this experiment, we evaluated the effect of Nos2 knockout (KO) on LR in aged mice after PH. Materials and Methods: In this experimental study, 52 two-year-old Nos2 KO and 46 the same age wild-type (WT) C57BL/6J mice were subjected to 2/3 PH. Liver tissues were collected at 11 time points after PH. Mice survival ratio and liver coefficient (liver-weight/ body-weight) was calculated. Transcript and protein levels were estimated by reverse transcriptase-quantitative polymerase chain reaction (RT-qPCR) and Western blot, respectively. Results: The aged Nos2 KO mice had lower survival ratio (P=0.039) and liver coefficient (P=0.002) at the termination phase. Nos2 transcript level was obviously increased after PH in WT mice and undetected in the Nos2 KO mice. During LR, the expression at the transcript level of Cyclin D1, Cyclin A2 and Cyclin B1 and protein expression level of proliferation marker Ki67 and proliferation-associated transcription factors JNK1, NF-kB and STAT3 were decreased or delayed. The expression of pro-apoptotic proteins, CAS-PASE3, CASPASE9 and BAX, was increased in the Nos2 KO mice. Conclusion: Decreased survival ratio and impaired LR in aged Nos2 KO mice is probably due to decreased liver cell proliferation and increased liver cell apoptosis.
0	0	0	CS 	 Computer vision  	 Fine-grained image recognition; Convolutional Neural Networks (CNN); Bag-of-visual-words; Feature weighting; Dimension reduction        	Fine-grained image recognition, a computer vision task filled with challenges due to its imperceptible inter-class variance and large intra-class variance, has been drawing increasing attention. While manual annotation can be utilized to effectively enhance performance in this task, it is extremely time-consuming and expensive. Recently, Convolutional Neural Networks (CNN) achieved state-of-the-art performance in image classification. We propose a fine-grained image recognition framework by exploiting CNN as the raw feature extractor along with several effective methods including a feature encoding method, a feature weighting method, and a strategy to better incorporate information from multi-scale images to further improve recognition ability. Besides, we investigate two dimension reduction methods and successfully merge them to our framework to compact the final image representation. Based on the discriminative and compact framework, we achieved the state-of-the-art performance in terms of classification accuracy on several fine-grained image recognition benchmarks based on weekly supervision.
6	1	126	biochemistry 	 Cell biology  	 liquid water; force matching; ab initio; molecular dynamics; Monte Carlo        	The accuracy of water models derived from ab initio molecular dynamics simulations by means on an improved force-matching scheme is assessed for various thermodynamic, transport, and structural properties. It is found that although the resulting force-matched water models are typically less accurate than fully empirical force fields in predicting thermodynamic properties, they are nevertheless much more accurate than generally appreciated in reproducing the structure of liquid water and in fact superseding most of the commonly used empirical water models. This development demonstrates the feasibility to routinely parametrize computationally efficient yet predictive potential energy functions based on accurate ab initio molecular dynamics simulations for a large variety of different systems. (c) 2016 Wiley Periodicals, Inc.
6	0	125	biochemistry 	 Molecular biology  	 Vitamin D; Cardiovascular system; Metabolic networks and pathways        	Vitamin D is a molecule that is actively involved in multiple metabolic pathways. It is mostly known for its implications related to calcium metabolism. It has also been determined that it actively participates in the cardiovascular system, influencing blood pressure, coronary artery disease and other vascular diseases, such as heart failure and atrial fibrillation. Furthermore, it has been established that this vitamin is extensively involved in the regulation of both the renin angiotensin aldosterone system and the immune system. In this review, we present the different vitamin D metabolic pathways associated with the cardiovascular pathophysiology, and we include studies in animal and human models, as well as some of the controversies found in the literature. This review also incorporates an overview of the implications in the molecular biology and public health fields.
1	10	26	ECE 	 Electric motor  	 Lead market; Dominant innovation design; Innovation; International diffusion; Principal component analysis        	This paper examines the conditions of global dominant innovation design considering e-mobility and the emergence of the lead market in different countries. The development of lead markets is linked to multiple, country-specific factors, which influence the lead market potential and position through the decreasing of national differences over time by benefits of the best compromise of an internationally similar innovation design. Due an early market entry, firms can reach first mover advantages, which they have to protect against followers. Especially eco-innovations could reach a state of a global dominant design, because they are developed to tackle the climate change. The development of globally sold e-mobility products, e.g. the electric motor, the battery or the whole vehicle is more likely. Therefore, the strategy to strengthen a lead market for e-mobility seems to be promising. With the help of a principal component analysis (PCA), different country-specific indicators were applied in the model of five lead market factors. But lead markets change quickly and the given theoretical concept is only estimating opportunities and not forecasting technology developments. After the evaluation the USA obtain the 1st lead market position according to e-mobility, followed by Germany and France. The advantage of the USA is mainly a result of demand incentives and a large sales market. In Germany supply side indicators are more pronounced. The position of France mainly results from well advanced supply and demand side measures in average.
1	10	26	ECE 	 Electric motor  	 Compressed air; Microturbine; Bleed air; Life-cycle cost analysis; Compressed air generation        	Compressed air is an irreplaceable energy source for some manufacturing processes, and is also common in applications even when there are alternatives. As a result, compressed air is a key utility in manufacturing industry, but unfortunately the cost of compressed air production is one of the most expensive processes in a manufacturing facility. In order to reduce the compressed air generation cost an unconventional way using a microturbine configuration is proposed. The concept is based on an extraction of a certain amount of compressed air from/after the compressor with the residual air flowing to the turbine to produce sufficient back power to drive the compressor. A thermodynamic and life cycle analysis are presented for several system variations, including a simple cycle without a recuperator and a complex configuration with an intercooler, recuperator and reheating. The study is based on the typical requirements (i.e. quantity, pressure) for a small to medium sized industrial compressed air system. The analysis is focused on the North American market due to the low price of natural gas. The lowest life cycle cost alternative is represented by a microturbine concept with a recuperator, air extraction after partial compression, intercooler and aftercooler. A comparison of an electric motor and conventional microturbine prime movers demonstrates the economic benefit of the proposed compressed air generation method, for the design parameters and utility prices considered. (C) 2016 Elsevier Ltd. All rights reserved.
1	12	29	ECE 	 Signal-flow graph  	 current mirror; current-mode; differentiator; signal flow graph; biquad circuit        	A novel configuration of current mirrors differentiators-based continuous-time current-mode low pass filter is proposed in this paper. The filter only consists of current mirrors differentiators and capacitors. The topology is really simple, the sensitivity is very low, so it suits full integration. The computer simulation of transistor is carried out and the results show that the proposed circuits are effective.
2	5	38	Psychology  	 Leadership  	 Great Patriotic War; defense of Leningrad; Operation Barbarossa; Generalplan Ost        	The authors of this article respond to V.A. Nekhamkin's call to answer the counterfactual challenge of the past related to the question of surrendering Leningrad in the course of the Great Patriotic War. Refuting numerous pseudoscientific investigations of revisionists of the history of that war, the authors show the misanthropic essence of the Third Reich's plans with respect to the Soviet Union in general and Leningrad in particular and, using the logic of alternative history, analyze, first, possible actions of the military-political leadership of Nazi Germany in a situation similar to the blockade of Leningrad and, second, possible military consequences of the loss of the city on the Neva River. From the point of view of military science and humanitarian considerations, it is proved that the actions of the Soviet command in defending Leningrad were not only right but also that no alternative existed.
0	13	13	CS 	 Algorithm design  	 vehicle-to-vehicle communications; tracking error; beacon rate control        	Tracking accuracy plays a critical role in V2V (vehicle-to-vehicle communications) based active safety applications. This paper proposed a beacon rate control algorithm to reduce the tracking error. By analyzing the vehicle trajectory tracking process, it is found that the tracking error is proportional to the moving status of a vehicle, as well as the data delay. Due to the constraint of the wireless communication capacity, the data delay for all the nodes can't be shortened infinitely. The principle of the algorithm design is to shorten the data delay by increasing the beacon rate for vehicles with higher dynamics, due to the reason that these vehicles are prone to cause larger tracking error with the same data delay. Simulation results show that by using the proposed algorithm, the beacon rate of the subject vehicle can adapt to the vehicle dynamics, thus in this way, the tracking error is controlled at a decimeter level.
5	24	96	Medical 	 Hepatitis C  	 replication; conformations; free energy landscape        	Hepatitis C virus (HCV) is a global health concern for which there is no vaccine available. The HCV polymerase is responsible for the critical function of replicating the RNA genome of the virus. Transitions between at least two conformations (open and closed) are necessary to allow the enzyme to replicate RNA. In this study, molecular dynamic simulations were initiated from multiple crystal structures to understand the free energy landscape (FEL) explored by the enzyme as it interconverts between these conformations. Our studies reveal the location of distinct states within the FEL as well as the molecular interactions associated with these states. Specific hydrogen bonds appear to play a key role in modulating conformational transitions. This knowledge is essential to elucidate the role of these conformations in replication and may also be valuable in understanding the basis by which this enzyme is inhibited by small molecules. (c) 2016 Wiley Periodicals, Inc.
5	1	73	Medical 	 Allergies  	 Allergy; Asthma; Eczema; Food intolerance; Prevalence        	Aim: This study investigated whether allergies among schoolchildren increased in Sweden between 1979 and 2007 and whether the geographical differences observed in previous studies remained. Methods: We collected questionnaire data on asthma, allergic rhinoconjunctivitis (ARC) and eczema in children aged seven to eight years from Molndal, Gothenburg, in south-western Sweden and Kiruna in northern Sweden in 1979 (n = 4682), 1991 (n = 2481) and 2007 (n = 1029). The same regions and questions were used in all three studies, and extra questions on food allergy or intolerance were added in 2007. Results: In 1979, 1991 and 2007, the total prevalence of asthma was 2.5%, 5.7% and 7.1%, ARC was 5.5%, 8.1% and 11.1% and eczema was 7.1%, 18.3% and 19.7%, respectively. Asthma prevalence remained higher in Kiruna, but no significant regional differences were seen for ARC and eczema. Almost 20% reported a history of food allergy or intolerance, with a higher prevalence in Kiruna. The allergy risk was reduced if both parents were born outside Sweden. Conclusion: The prevalence of ARC continued to increase between 1991 and 2007, but increases in asthma and eczema started to level off in 1991. Some geographical differences remained, but total allergy rates were similar in Kiruna and Molndal in 2007.
3	3	55	MAE 	 Machine design  	 Switched reluctance; Axial flux; FEM 2D; FEM 3D; Electric Vehicle        	This paper is devoted to the outlines of a research project under a European Union Seventh Framework Programme grant. The Venus European project is working on developing an axial flux electrical machine for an electrical vehicle. Between different possible topologies a switched reluctance topology has been chosen. In order to validate the design tools for this uncommon topology a comparison between 2D and 3D finite element analyse together with a experimental validation has been performed. The results of this comparison is summarized in this paper.
5	38	110	Medical 	 Cancer  	 biopolymers; block copolymers; drug delivery; peptides; responsive polymers        	A series of pH/redox dual stimuli-responsive poly(2-methacryloyloxyethyl phosphorylcholine)(25)-block-poly(l-histidine)(n) (p[MPC])(25)-b-p[His](n), n=20, 35, 50, and 75) copolymers consisting of a pH-responsive p(His)(n) block and a biocompatible phospholipid analog p(MPC) block connected by a redox-responsive disulfide linker have been synthesized. The block copolymers are self-assembled into uniform micelles (approximate to 100 nm) in which doxorubicin (Dox) is efficiently encapsulated. The in vitro release profile shows an enhanced release of Dox at low pH (5.0) in 10 mM glutathione (GSH). The in vitro cell viability assays performed using various cell lines show that the blank hybrid micelles have no acute or intrinsic toxicity. A pH-dependent cytotoxicity is observed with the Dox-loaded micelles, especially at pH 5.0. Moreover, confocal microscopy images and flow cytometry results show the pH-dependent cellular uptake of Dox-loaded micelles. Therefore, the Dox-loaded micelles can be considered a good candidate for cancer therapy. (c) 2017 Wiley Periodicals, Inc. J. Polym. Sci., Part A: Polym. Chem. 2017, 55, 2061-2070
0	8	8	CS 	 Relational databases  	 Anonymity; TSP; divide-and-conquer; Gray sort; privacy preserving data mining        	Several approaches have been proposed to anonymize relational databases using the criterion of k-anonymity, to avoid the disclosure of sensitive information by re-identification attacks. A relational database is said to meet the criterion of k-anonymity if each record is identical to at least (k - 1) other records in terms of quasi-identifier attribute values. To anonymize a transactional database and satisfy the constraint of k-anonymity, each item must successively be considered as a quasi-identifier attribute. But this process greatly increases dimensionality, and thus also the computational complexity of anonymization, and information loss. In this paper, a novel efficient anonymization system called PTA is proposed to not only anonymize transactional data with a small information loss but also to reduce the computational complexity of the anonymization process. The PTA system consists of three modules, which are the Pre-processing module, the TSP module, and the Anonymity model, to anonymize transactional data and guarantees that at least k-anonymity is achieved: a pre-processing module, a traveling salesman problem module, and an anonymization module. Extensive experiments have been carried to compare the efficiency of the designed approach with the state-of-the-art anonymization algorithms in terms of scalability, runtime, and information loss. Results indicate that the proposed PTA system outperforms the compared algorithms in all respects.
5	3	75	Medical 	 Ankylosing Spondylitis  	 Multiple sclerosis; Killer cell immunoglobulin-like receptor; Meta-analysis        	Multiple sclerosis (MS) is a disease in which we can recognize destruction of the myelin that is around nerve cells of brain and spinal cord called as oligodendrocytes. Both genetic and environmental factors play roles in MS. One of these genes is the killer-cell immunoglobulin-like receptor (KIR) which expressed on surface of natural killer cells (NKs). These genes have loci (not locus) in human genome, so they inherit as haplotypes. The results of previous studies show that different genes of KIR may affect both susceptibility and resistance to such autoimmune disorders that their pathogenesis in MS is still unclear. Since NKs play key roles in immune tolerance, we intend to perform a meta-analysis for the correlation of KIR genes and MS. We used the software comprehensive meta-analysis for data of totally 568 MS patients and 280 controls. Among the 14 genes of KIR in the human genome, lack of KIR2DS1 is accompanied by MS. No KIR gene found to be a risk factor for MS. Further studies on other molecules of NKs like CD94 and NKG2a is suggested. (C) 2016 The Authors. Published by Elsevier Inc.
3	1	53	MAE 	 Hydraulics  	 Water hydraulics; Piston pump; Port valve; Noise; Submersible        	Open-circle sea water hydraulics, utilizing surrounding water as a working medium, has become more and more popular in submersible. Axial piston pump with port valves is used frequently in the open-circle water hydraulic system. Port valve is one of the important parts in this type pump. However, there are few literatures about the effect of the port valves' materials on the noise characteristic of the water pump. In this study, the effect of materials on the noise of the pump was researched through experimental and theory simulation methods. The influences of three kinds of plastics (Polyetheretherketone (PEEK), Polytetrafluoroethylene (PTFE), Aliphatic polyamides (NYLON)) and one kind of anti-corrosion stainless steel (316 L) are colimared. The noise of the pump with the different materials port valve seat ranges from high to low as the order: 316 L >NYLON >PEEK >PTFE. The differences would contribute to the collision between valve spool and seat, which is identified by the simulating results. The experimental results showed that the difference of noise between PEEK and PTFE is small. In addition, the lifespan and volumetric efficiency are also taken into considering. The PEEK is selected to use in the seawater pump for a large submersible.
3	2	54	MAE 	 Manufacturing engineering  	 Mechanism design; High Precision Clamping; Freeform Bodies; Milling        	In manufacturing engineering, especially in machining process, the definition of a reference plane is the first essential step within the overall process. After the reference plane is applied at the component all other features are processed with reference to this basic plane. During any process the component has to be clamped in order to resist the processing forces. There are several clamping systems available, such as pneumatic, magnetic systems or magneto-rheological (MR) systems. Depending on its stiffness the component is deformed due to the clamping forces, stresses are introduced. This effect can be neglected for components with a high stiffness and nearly rigid body behaviour. However, the deformation of low stiff components under clamping forces, e.g. sheet metals, is relatively large and is in the same range as the addressed accuracy of machining process. Due to the introduced elastic clamping stresses the component will reconfigure after clamping, this phenomenon is known as springback. The focus of this work is the design of a clamping system for flexible bodies in order to reduce the springback and to enable high precision processing. This clamping system consists in a set of supports, which adjust to the surface of the body without introducing stresses and causing no springback after the machining process. The number and the arrangement of the supports are optimized as a function of the intensity and position of the milling force and the geometrical and mechanical properties of the body as well. The functional unit of the clamping system is a cylindrical bodysliding nearly frictionless within a pipe. Numerical simulation is used for configuration and optimization. The developed clamping systems can also be used to process freeform shaped bodies.
0	15	15	CS 	 Data structures  	 Data structures; Computational geometry; Range successor; Sorted range reporting; Planar orthogonal skyline reporting        	In this article, we revisit the problem of supporting two-dimensional range successor queries. We present a data structure with O (n lglg n) words of space and O(lglgn) query time. This improves the work of Nekrich and Navarro (2012) by a factor of lg lgn in query time, or a factor of lg(is an element of) in space cost, where E is an arbitrary positive constant. Our data structure matches the state of the art for two-dimensional range emptiness queries and achieves the optimal query time. This structure has fruitful applications in computational geometry and text indexing. (C) 2015 Elsevier B.V. All rights reserved.
0	8	8	CS 	 Relational databases  	 Learning Spaces; Exhibition Rooms; Cultural Heritage; Ontology; Domain Specific Language        	A good virtual Learning Space (LS) should convey pertinent learning information to the visitors at the most adequate time and locations to favor their knowledge acquisition. Considering the consolidation of the internet and the improvement of the interaction, searching, and learning mechanisms, we propose a generic architecture, called CaVa, to create virtual Learning Spaces building up on cultural institution documents. More precisely, our proposal is to automatically create ontology-based virtual learning environments. Thus, to impart relevant learning materials to the virtual LS, we propose the use of ontologies to represent the key concepts and semantic relations in an user- and machine-understandable format. These concepts together with the data (extracted from the real documents) stored in a digital storage format (XML datasets, relational databases, etc.) are displayed in an ontology-based learning space that enables the visitors to use the available features and tools to learn about a specific domain. According to the approach here discussed, each desired virtual LS must be specified rigorously through a domain specific language (DSL) that was designed and implemented. To validate the proposed architecture, three case studies will be used as instances of CaVa architecture. (C) 2016 The Authors. Published by Elsevier B.V.
4	7	68	Civil 	 Green Building  	 net-positive; built environment; sustainable buildings; sustainability indicators; sustainability; neighbourhood; building assessment systems; sustainability criteria        	An alternative approach to conceptualizing and measuring the built environment is developed which forms the basis of a new assessment tool. The role of buildings is reframed to consider what capabilities for sustainability a building can provide to the inhabitants and local community. This capability to support sustainability is defined as the ability to improve the local quality of life (Human Development Index) whilst remaining below the environmental carrying capacity (environmental footprint). This approach has clear implications about the role of buildings in enabling residents and users to achieve these targets and outcomes. This shifts the focus of net-positive development toward configurations and characteristics of the built environment that are appropriate for a particular context. A Built Environment Sustainability Tool (BEST) is presented that defines and assesses these configurations and characteristics. Assessments can be conducted by measuring the extent to which required configurations and characteristics exist (i.e. 'the capability of the built environment to support sustainability'). BEST is compared with other green building rating tool approaches in order to review the methodology critically and to evaluate this as a means of improving built environment sustainability performance.
1	15	32	ECE 	 Operational amplifier  	 Howland current sources; microsensors; output impedance        	Current sources with Howland topology made with operational amplifier are often used for sensors that requires constant current polarization, for bioimpedance measuring, actuators driving systems and so on. Theoretical determination of overall performances for this circuits is generally known. This paper presents a practical method for real output impedance determining of such current sources based on performing two simple measurements. The results is according with the measurements on the practical circuit. Using the TL084 circuit the frequency cut-off was 250 KHz but using one other circuit as THS3201 the cut-off frequency was 20MHz.
6	4	129	biochemistry 	 Genetics  	 Mitochondrial diseases; DNA polymerase gamma; Genetics; Clinical phenotypes        	POLG gene encodes the catalytic subunit of DNA polymerase gamma, essential for mitochondrial DNA (mtDNA) replication and repair. Mutations in POLG have been linked to a spectrum of clinical phenotypes, resulting in autosomal recessive or dominant mitochondrial diseases. These mutations have been associated with heterogeneous phenotypes, presenting with varying severity and at different ages of onset, ranging from the neonatal period to late adult life. We screened 13 patients for POLG mutations. All patients underwent a complete neurological examination, and in most of cases, muscle biopsy was performed. We detected 15 different variations in 13 unrelated Italian patients. Two mutations were novel and mapped in the pol domain (p.Thr989dup and p.Ala847Thr) of the enzyme. We also report new cases carrying controversial variations previously described as incompletely penetrant or a variant of unknown significance. Our study increases the range of clinical presentations associated with mutations in POLG gene, underlining some peculiar clinical features, such as PEO associated with corneal edema, and epilepsy, severe neuropathy with achalasia. The addition of two new substitutions, including the second report of an in-frame duplication, to the growing list of defects increases the value of POLG genetic diagnosis in a range of neurological presentations.
0	16	16	CS 	 Bioinformatics  	 Single-cell genomics; Decontamination; GUI software        	"Background: Whole genome amplification techniques have enabled the analysis of unexplored genomic information by sequencing of single-amplified genomes (SAGs). Whole genome amplification of single bacteria is currently challenging because contamination often occurs in experimental processes. Thus, to increase the confidence in the analyses of sequenced SAGs, bioinformatics approaches that identify and exclude non-target sequences from SAGs are required. Since currently reported approaches utilize sequence information in public databases, they have limitations when new strains are the targets of interest. Here, we developed a software SAG-QC that identify and exclude non-target sequences independent of database. Results: In our method, ""no template control"" sequences acquired during WGA were used. We calculated the probability that a sequence was derived from contaminants by comparing k-mer compositions with the no template control sequences. Based on the results of tests using simulated SAG datasets, the accuracy of our method for predicting non-target sequences was higher than that of currently reported techniques. Subsequently, we applied our tool to actual SAG datasets and evaluated the accuracy of the predictions. Conclusions: Our method works independently of public sequence information for distinguishing SAGs from non-target sequences. This method will be effective when employed against SAG sequences of unexplored strains and we anticipate that it will contribute to the correct interpretation of SAGs."
0	4	4	CS 	 Operating systems  	 Robotic Surgery; Preoperative setup planning; Raven-II; Robot setup simulation        	In this research we present a Preoperative Robotic Surgery Simulator platform as a means of training for Raven-II Surgical system. The simulator employs PHANTOM Omni (now Geomagic (R) Touch(TM)) as a master device to control the arms of the 3D simulated model of Raven-II in virtual environment. The earlier simulators for Raven-II were built primarily to work over Debian-based Linux Operating Systems. This is the first attempt towards development of a simulator in MATLAB which, being a cross platform application, allows the accessibility of the simulator to a broader community of surgeons and researchers. The simulator is designed to provide the haptic feedback to the user which results ina realistic emulation of surgery environment. Other key features include opening and closing of the surgical tool using pen buttons ofPHANTOMOmni and a 'freeflow' feature with which a surgeon can willingly pause the motion of surgical robot to adjust the position of input device as per the requirement. The simulator was successfully built and tested in MATLAB and the results from the simulation satisfactorily verified the efficacy of the proposed system.
2	0	33	Psychology  	 Prejudice  	 genetics; health; science studies; feminist science studies; Pragmatism; Dewey        	"How can researchers use race, as they do now, to conduct health-care studies when its very definition is in question? The belief that race is a social construct without ""biological authenticity'' though widely shared across disciplines in social science is not subscribed to by traditional science. Yet with an interdisciplinary approach, the two horns of the social construct/genetics dilemma of race are not mutually exclusive. We can use traditional science to provide a rigorous framework and use a social-science approach so that ""invisible'' factors are used to adjust the design of studies on an as-needed basis. One approach is to first observe health-care outcomes and then categorize the outcomes, thus removing genetic differences as racial proxies from the design of the study. From the outcomes, we can then determine if there is a pattern of conceivable racial categories. If needed, we can apply dynamic notions of race to acknowledge bias without prejudice. We can use them constructively to improve outcomes and reduce racial disparities. Another approach is nearly identical but considers race not at all: While analyzing outcomes, we can determine if there are biological differences significant enough to identify classifications of humans. That is, we look for genetic patterns in the outcomes and classify only those patterns. There is no attempt to link those patterns to race."
2	14	47	Psychology  	 Child abuse  	 Resiliency; Adolescence; Child abuse; Posttraumatic stress; Depression; Revictimization        	"Child abuse is associated with a number of negative psychosocial outcomes, including mental health problems, substance abuse, and interpersonal violence. Yet some children thrive or ""adapt well"" despite experiencing abuse; researchers are increasingly interested in the protective factors and mechanisms that may prevent negative outcomes. The purpose of this study was to explore the role of resiliency characteristics in the relationship between childhood abuse and the negative outcomes of depression, posttraumatic stress disorder (PTSD), substance abuse, and revictimization in adolescent girls involved in child welfare. Participants were 237 adolescent girls ages 12-19 years (M = 14.9, SD = 1.6), and who were youths of color (75%) and white (25%). Data were collected through surveys assessing histories of physical, sexual, and emotional child abuse; symptoms of post traumatic stress and depression; lifetime substance use; and experiences of physical, verbal, and relational revictimization in the last three months. All forms of childhood abuse were significantly associated with symptoms of depression and PTSD as well as revictimization and substance use. Higher levels of resiliency were associated with fewer depression and PTSD symptoms and experiencing less revictimization. Resiliency significantly moderated the relationship between sexual abuse and depression, PTSD, and revictimization. Resiliency also moderated the relationship between emotional abuse and depression. No significant interactions emerged in the relationship between physical abuse and any of the mental health and behavioral problems. This study suggests that resiliency may serve as a protective factor in the relationship between abuse (sexual and emotional) and depression, PTSD, and revictimization during adolescence. (C) 2016 Elsevier Ltd. All rights reserved."
